SUPPLIER,CODE,ASSORTED,PARENT CODE,NAME,BARCODE,LOCATION CODE,PRICE,WEIGHT,TAXRATE,TAXABLE,UOM,BRAND,UOM2,UNIT CONVERSION,APP_SELLING_UNIT,CATEGORY,GROUP,DESCRIPTION,LAST_PRICE,REORDER_LEVEL,REORDER_QTY,SALES_AC,PURCHASE_AC
,,,,,,,,,,,,,,,,,,,,,,,
S001,AIROM0001,,,Airoma Air Freshener Citrus Dazzle 300ml,6161103015804,,,,16,TAXABLE,CASE,Airoma,PCS,12,,,,,,,,,
S001,AIROM0002,,,Airoma Air Freshener Lavendar Dreams 300ml,6161103015811,,,,16,TAXABLE,CASE,Airoma,PCS,12,,,,,,,,,
S001,AIROM0003,,,Airoma Air Freshener Cotton Breeze 300ml,6161103015842,,,,16,TAXABLE,CASE,Airoma,PCS,12,,,,,,,,,
S001,AIROM0004,,,Airoma Air Freshener Pomegranate & Mulberry 300ml,6161103015835,,,,16,TAXABLE,CASE,Airoma,PCS,12,,,,,,,,,
S001,ALKBT0001,,,Alkaline Batteries SIZE AA-,5000394126091,,,,16,TAXABLE,PIECE,Duracell,PCS,1,,,,,,,,,
S001,ALKBT0002,,,Alkaline Batteries SIZE C,5000394127531,,,,16,TAXABLE,PIECE,Duracell,PCS,1,,,,,,,,,
S001,ALKBT0003,,,Alkaline Batteries SIZE D,5000394127562,,,,16,TAXABLE,PIECE,Duracell,PCS,1,,,,,,,,,
S001,ALKBT0006,,,FOL - Alkaline Batteries SIZE AA-,5000394126091,,,,16,TAXABLE,PIECE,Duracell,PCS,1,,,,,,,,,
S001,ALKBT0007,,,FOL - Alkaline Batteries SIZE C,5000394127531,,,,16,TAXABLE,PIECE,Duracell,PCS,1,,,,,,,,,
S001,APTML0001,,,Aptamil Infant 400g,5900852061509,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,APTML0002,,,Aptamil Follow Up 400g,5900852061516,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,APTML0003,,,Aptamil Growing Up 400g,5900852061523,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,APTML0004,,,Aptamil Infant 800g,5391522476332,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,APTML0005,,,Aptamil Follow Up 800g,5391522476349,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,APTML0006,,,Aptamil Growing Up 800g,5391522476356,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,APTML0008,,,Aptamil Pre Nutriprem 400g,8718117610051,,,,16,TAXABLE,CAN,Aptamil,CAN,1,,,,,,,,,
S001,BIOGE0001,,,Bio-Oil - Dry Skin Gel 50ml (shrunk in 4's),6001159121046,,,,16,TAXABLE,PIECE,Bio Oil,PCS,1,,,,,,,,,
S001,BIOGE0002,,,Bio-Oil - Dry Skin Gel 100ml (shrunk in 4's),6001159121053,,,,16,TAXABLE,PIECE,Bio Oil,PCS,1,,,,,,,,,
S001,BIOGE0003,,,Bio-Oil - Dry Skin Gel 200ml (shrunk in 4's),6001159121060,,,,16,TAXABLE,PIECE,Bio Oil,PCS,1,,,,,,,,,
S001,BIOLT0001,,,Bio-Oil Lotion 175ml,6001159130017,,,,16,TAXABLE,PIECE,Bio Oil,PCS,1,,,,,,,,,
S001,BIOLT0002,,,Bio-Oil Lotion 250ml,6001159130024,,,,16,TAXABLE,PIECE,Bio Oil,PCS,1,,,,,,,,,
S001,BIOOL0001,,,Bio-Oil Skincare oil 25ml,6001159116790,,,,16,TAXABLE,PIECE,Bio Oil,PCS,1,,,,,,,,,
