Selected,Customer ID,Customer Name,Customer Class,Country,City,Currency ID,Terms,Customer Status,Sage Code,Customer Group,Category,Customer Region,Parent Code,Price Class ID,Price Class Name,Main A/CC Owner,Route Code,Route Name,Credit Limit,Rep Code,Sales Rep,Zone ID,Customer Zone,Address Line 1,Address Line 2,Address Line 3,Shipping Rule,Email,Statement Type,Business Account ID,Tax Registration ID,Statement cycle,Delivery
False,CUST100002,4Horsemen Limited,KPREST,KE,,KES,30D,Active,24972,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3G,Langata,"80,000.00",P505,Shirleen Chebet,Z003,Ngong,P.O Box 58587 - 00200,"Langata Road,",,Back Order Allowed,kipchimchimwholesalers@gmail.com,Open Item,,P051765868C,MONTHLY,
False,CUST100003,5Th Avenue Management Office,KPPMGR,KE,,KES,30DS,Active,23730,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3C,Ngong Road,1.00,C967,Berna Piwang,Z003,Ngong,,Ngong Road,,Back Order Allowed,5thavenuemgmt@gmail.com,Open Item,,P051319593T,MONTHLY,
False,CUST100006,AAA  Growers Ltd,KPAGRI,KE,,KES,30DS,Active,2339B,Kim-Fay Professional,,Nairobi West,,AAAGROWERS,AAA Growers Ltd,,1D,Westlands,"100,000.00",C967,Berna Piwang,Z001,Westlands,P.O BOX 32201,Mzima Springs Off James Gichuru Road,,Back Order Allowed,lilian.achieng@aaagrowers.co.ke,Open Item,,P051128876N,MONTHLY,
False,CUST100007,AACC Guest House,KPHOTEL,KE,,KES,60DS,Active,23398,Kim-Fay Professional,,Nairobi West,,AACCGUESTH,AACC GUEST HOUSE,,1B,Waiyaki Way,0.00,C1262,Mercyline Kemunto,Z001,Westlands,P O BOX 14205,"Aacc Complex, Waiyaki Way",,Back Order Allowed,stores@aacc-ceta.org,Open Item,,P051092435S,MONTHLY,
False,CUST100008,AAR Insurance Kenya Limited,KPINDUSTRY,KE,,KES,30DS,Active,24890,Kim-Fay Professional,,Nairobi West,,AARINSURAN,AAR Insurance Kenya ltd,,3O,Upper Hill,"100,000.00",P096,Doreen Mugwika,Z003,Ngong,"Real Towers, Upper Hill",,,Back Order Allowed,rkisese@aar.co.ke,Open Item,,P000597819E,MONTHLY,
False,CUST100009,Aberdare Safari Hotels,KPHOTEL,KE,,KES,30DS,Active,3544,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,1D,Westlands,"100,000.00",P505,Shirleen Chebet,Z001,Westlands,"P.O.Box 14815-00800,","School Lane, Westlands",,Back Order Allowed,cmuriuki@aberdaresafarihotels.com,Open Item,,P000609898V,MONTHLY,
False,CUST100010,Academy Of Dance And Arts Ltd,KPEDU,KE,,KES,30D,Active,24087,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3B,Karen,"60,000.00",P504,Diana Wendy,Z003,Ngong,P.O Box 1238 - 00502,Rhino House,,Back Order Allowed,dance@academyonline.me,Open Item,,P051202441L,MONTHLY,
False,CUST100011,Ace Nairobi One Limited,KPEDU,KE,,KES,30D,Active,24818,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,4F,Runda,3.00,P096,Doreen Mugwika,Z004,Thika,"P.O.BOX 111-00627 Two rivers, Nairobi","Sabis International School,  Runda Off",,Back Order Allowed,j.mwangi@tworivers.co.ke,Open Item,,P051573124Y,MONTHLY,
False,CUST100012,Adamji Multi Supplies Limited,KPDIST,KE,,KES,CURRENT,Active,3457,Kim-Fay Professional,,Nairobi East,,KPDISTRIB,KP Distributors,,5P,Mombasa Road,1.00,P193,June Chesire,Z005,Mombasa Road,P.O. Box 44605,Kings Business Park Ware House No.22,,Back Order Allowed,finance@adamji.co.ke,Open Item,,P051133258U,MONTHLY,
False,CUST100013,Adams Brown & Company Ltd,KPPMGR,KE,,KES,30DS,Active,24618,Kim-Fay Professional,,Nairobi West,,ADAMSBROWN,Adams Brown  & Company,,1B,Waiyaki Way,"2,000,000.00",P096,Doreen Mugwika,Z001,Westlands,P.O Box 40971 - 00100,Abc Place,,Back Order Allowed,info@abc-place.com,Open Item,,P000591518J,MONTHLY,
False,CUST100014,Adlife Management Company Ltd,KPPMGR,KE,,KES,15DS,Active,24907,Kim-Fay Professional,,Nairobi West,,BLISSMAKSS,Blissmaks Services ltd,,3L,Hurlingham,"200,000.00",C967,Berna Piwang,Z003,Ngong,Adlife Plaza Building,,,Back Order Allowed,wenceslaus@adlifeplaza.com,Open Item,,P051613152A,MONTHLY,
False,CUST100015,Adrian Kenya Ltd,KPINDUSTRY,KE,,KES,30D,Active,24973,Kim-Fay Professional,,Nairobi West,,ADRIANKENY,Adrian Kenya Ltd,,1B,Waiyaki Way,3.00,YVON,Yvonne Achieng,Z001,Westlands,9808-GPO KENYA,Gitaru-Off Waiyaki Way,,Back Order Allowed,adrianpayables@adriankenya.com,Open Item,,P051435603W,MONTHLY,
False,CUST100016,Adroit Facilities Ltd,KPCCLNRS,KE,,KES,CURRENT,Active,24735,Kim-Fay Professional,,Nairobi Central,,ADROITFACI,Adroit Facillities ltd,,4C,Thika Road,2.00,P505,Shirleen Chebet,Z004,Thika,Abacus House,"3rd Floor, Baba Dogo Road",,Back Order Allowed,info@adroitfl.com,Open Item,,P051547208G,MONTHLY,
False,CUST100017,Aero Club East Africa Ltd,KPAIRLINE,KE,,KES,30DS,Active,23176,Kim-Fay Professional,,Nairobi East,,AEROCLUBEA,Aero club East Africa,,3H,Wilson Airport,"400,000.00",C967,Berna Piwang,Z003,Ngong,P.O.Box 40813,Wilson Airport,,Back Order Allowed,purchasing@aeroclubea.com,Open Item,,P000591170O,MONTHLY,
False,CUST100018,Afex Kenya Ltd,KPHOTEL,KE,,KES,30DS,Active,25183,Kim-Fay Professional,,Nairobi West,,AFEXKENYAL,Afex Kenya ltd,,1B,Waiyaki Way,0.00,P193,June Chesire,Z001,Westlands,24598-00502,2Nd Floor Acorn House James Gichuru Road,,Back Order Allowed,ruth.ndege@afexgroup.com,Open Item,,P000599797A,MONTHLY,
False,CUST100019,Africa Reit,KPSERVICE,KE,,KES,30D,Active,23579,Kim-Fay Professional,,Nairobi West,,AFRICAREIT,Africa Reit,,3B,Karen,"100,000.00",P505,Shirleen Chebet,Z003,Ngong,AFRICA REIT,"Karen, Same Road Leading To The Hub.",,Back Order Allowed,accounts@africareit.com,Open Item,,P051232118J,MONTHLY,
