Customer ID,Customer Name,Channel,Rep,RepCode,Region,Email
CUST101539,Majid Al Futtaim Hypermarkets Ltd - Garden City branch,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101298,Naivasha Self Services Store -Eastern Bypass K,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101325,Quick Mart Ltd - Eastern Bypass,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101341,QUICKMART EASTERN BY PASS 2,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST102509,Leestar Supermarket ( Ruiru ) Limited,Modern Trade T2,Dennis Mutwiri,P293,Nairobi East,dennis.kac@kimfay.com
CUST101880,Naivasha Self Service Stores -Githurai 44,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101179,DEFWES Kahawa Garrison,Modern Trade T2,Zipporah Wangeci,P443,Nairobi Key Accounts,moderntrade.nrb@kimfay.com
CUST100547,Leestar Supermarket - Githurai,Modern Trade T2,Dennis Mutwiri,P293,Nairobi East,dennis.kac@kimfay.com
CUST102868,Leestar Supermarket - Pioneer,Modern Trade T2,Dennis Mutwiri,P293,Nairobi East,dennis.kac@kimfay.com
CUST101306,Powerstar Supermarket - Express,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST101314,Powerstar Supermarket - Zimmerman,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST102975,Majid Al Futtaim Hypermarkets Ltd - Ruiru,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST103097,Majid Al Futtaim Hypermarkets Ltd - Maasai Mall,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101313,Powerstar Supermarket - Mini,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST101203,Kassmatt Supermarket- Kasarani,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101205,Kassmatt Supermarket- Mwiki,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101310,Powerstar Supermarket - Kasarani,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST101416,"Naivasha Self Services Store -Ananas, Thika.",Modern Trade T1,Lilian Kimeu,P149,Nairobi Key Accounts,lilian.kimeu@kimfay.com
CUST101805,Quick Mart Ltd - Chania,Modern Trade T1,Lilian Kimeu,P149,Nairobi Key Accounts,lilian.kimeu@kimfay.com
CUST101174,DEFWES Engineers Thika,Modern Trade T2,Zipporah Wangeci,P443,Nairobi Key Accounts,moderntrade.nrb@kimfay.com
CUST101204,Kassmatt Supermarket Ltd - Thika,Modern Trade T2,Kevin Werunga,P230,Nairobi West,kelvin.werunga@kimfay.com
CUST102552,Khetia Drapers Ltd - Thika,Modern Trade T2,Kevin Werunga,P230,Nairobi West,kelvin.werunga@kimfay.com
CUST102263,Leestar Supermarket - Makongeni,Modern Trade T2,Lilian Kimeu,P149,Nairobi East,lilian.kimeu@kimfay.com
CUST101284,Naivasha Self Services Store - Mountain Mall,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101322,QUICK MART- JIPANGE,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101193,DEFWES Soi,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101189,DEFWES Moi Airbase,Modern Trade T2,Zipporah Wangeci,P443,Nairobi Key Accounts,moderntrade.nrb@kimfay.com
CUST101344,Quickmart Kahawa West,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101156,Cleanshelf Supermarket - Kahawa,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST101277,Naivasha Self Services Store - Kasarani,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101348,QUICKMART ROYSAMBU,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST102551,Khetia Drapers Ltd - Mirema,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST102496,Quick Mart -Thome,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101303,Naivasha Self Services Stores -  Thika Town,Modern Trade T1,Lilian Kimeu,P149,Nairobi Key Accounts,lilian.kimeu@kimfay.com
CUST102375,Maguna's Super stores (K) Ltd - Thika,Modern Trade T2,Lilian Kimeu,P149,Nairobi West,lilian.kimeu@kimfay.com
CUST101339,Quick mart Ruiru,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST100115,Bidii Supermarket - Ruiru,Modern Trade T2,Zipporah Wangeci,P443,Nairobi East,moderntrade.nrb@kimfay.com
CUST102842,Maguna's Super stores (K) Ltd - Membley,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101308,Powerstar Supermarket - Jambo,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST102325,Naivasha Self Service Store - Kiambu Town,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST102515,Naivasha Self Service Store - Thindigua,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101437,Cleanshelf Supermarket - Kiambu,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST100467,Kamindi Selfridges,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
