Inventory ID,Description,Item Class,Posting Class,Brand,Description,Item Group,Sub Item Group,Trading Group,Sub Trading Group,Conversion Factor,UOM,Profit Margin Target,Supplier
9037,Kimfay Hand Disinfectant Automatic Dispenser,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
ALKBT0001,Alkaline Batteries SIZE AA-,FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,40%,Duracell
ALKBT0002,Alkaline Batteries SIZE C,FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,40%,Duracell
ALKBT0003,Alkaline Batteries SIZE D,FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,40%,Duracell
ALKBT0004,Alkaline Simply AA(Astrip of 6 Pcs),FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,40%,Duracell
ALKBT0005,Alkaline Simply AAA(Astrip of 6 pcs),FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,40%,Duracell
ALKBT0006,FOL - Alkaline Batteries SIZE AA-,FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,1%,Duracell
ALKBT0007,FOL - Alkaline Batteries SIZE C,FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,1%,Duracell
ALKBT0008,FOL -  Alkaline Batteries SIZE D,FINGOODS  -BATTERY   -ALKALI-DRCL,BATTERIES,Duracell,FG-Batteries-Alkaline-Duracell,Batteries,,Partners,Trading,1,Cases,1%,Duracell
ANTFM0001,Anti-bacterial Foam Soap Pouch Option 6Ltrs,FINGOODS  -SOAP      -FOAM  -FAY,SOAP,Fay,FG-Soaps-Foam Soap-Fay,Foam Soap,,Kimfay Brand,Manufactured,6,Litres,40%,Kim-Fay
ANTFM0003,Anti-bacterial Foam Soap Pouch Option 6Ltrs ( Singles),FINGOODS  -SOAP      -FOAM  -FAY,SOAP,Fay,FG-Soaps-Foam Soap-Fay,Foam Soap,,Kimfay Brand,Manufactured,1,Litres,40%,Kim-Fay
APTML0001,Aptamil Infant 400g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
APTML0002,Aptamil Follow Up 400g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
APTML0003,Aptamil Growing Up 400g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
APTML0004,Aptamil Infant 800g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
APTML0005,Aptamil Follow Up 800g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
APTML0006,Aptamil Growing Up 800g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
APTML0007,Aptamil Pepti Junior 400g,FINGOODS  -FOODITEMS -BFORML-APTM,FOODITEMS,Aptamil,FG - Food Items-Baby Formula-Aptamil,Food Items,,Partners,Trading,1,Single Units,30%,Danone
BIOGE0001,Bio-Oil - Dry Skin Gel 50ml (shrunk in 4's),FINGOODS  -SKINCARE  -GEL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Gel-Bio Oil,Skincare ,,Partners,Trading,2,25ml Bottles,50%,Union Swiss
BIOGE0002,Bio-Oil - Dry Skin Gel 100ml (shrunk in 4's),FINGOODS  -SKINCARE  -GEL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Gel-Bio Oil,Skincare ,,Partners,Trading,4,25ml Bottles,50%,Union Swiss
BIOGE0003,Bio-Oil - Dry Skin Gel 200ml (shrunk in 4's),FINGOODS  -SKINCARE  -GEL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Gel-Bio Oil,Skincare ,,Partners,Trading,8,25ml Bottles,50%,Union Swiss
BIOLT0001,Bio-Oil Lotion 175ml,FINGOODS  -SKINCARE  -LOTION-BIO,SKINCARE,Bio Oil,FG-Skin Care-Lotion-Bio Oil,Skincare ,,Partners,Trading,7,25ml Bottles,50%,Union Swiss
BIOLT0002,Bio-Oil Lotion 250ml,FINGOODS  -SKINCARE  -LOTION-BIO,SKINCARE,Bio Oil,FG-Skin Care-Lotion-Bio Oil,Skincare ,,Partners,Trading,10,25ml Bottles,50%,Union Swiss
BIOOL0001,Bio-Oil Skincare oil 25ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,1,25ml Bottles,50%,Union Swiss
BIOOL0002,Bio-Oil Skincare oil 60ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,2,25ml Bottles,50%,Union Swiss
BIOOL0003,Bio-Oil Skincare oil 125ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,5,25ml Bottles,50%,Union Swiss
BIOOL0004,Bio-Oil Skincare oil 200ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,8,25ml Bottles,50%,Union Swiss
BIOOL0005,Bio-Oil Skincare Natural 25ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,1,25ml Bottles,50%,Union Swiss
BIOOL0006,Bio-Oil Skincare Natural 60ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,2,25ml Bottles,50%,Union Swiss
BIOOL0007,Bio-Oil Skincare Natural 125ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,5,25ml Bottles,50%,Union Swiss
