type,rep_code,status,row_count,matched_user,suggested_user_match,example_rows
problem_rep_code,BADDEBTPRO,unresolved,6,,,"row 128 CUST100144 Budget Store Ltd | row 331 CUST100382 Hamptons Hospital | row 393 CUST100454 Joystar Cereals Commodities Ltd"
problem_rep_code,INACTIVE,unresolved,2,,,"row 295 CUST100335 Game Discount World (K) Ltd | row 879 CUST101051 Tusker Mattresses Ltd."
problem_rep_code,LITIGATION,unresolved,10,,,"row 167 CUST100188 City Professional Cleaners Ltd | row 189 CUST100215 Creative Cleaning Services Limited - Safaricom A/C | row 279 CUST100314 Flamco"
problem_rep_code,P038,unresolved,17,,,"row 71 CUST100074 Andus & Mahius Trading Comp. Ltd | row 294 CUST100334 Gambii Stores Limited | row 333 CUST100384 Hare Krishna Chuka Ltd"
problem_rep_code,P039,unresolved,15,,,"row 94 CUST100101 Bondamas Enterprises Limited | row 259 CUST100293 Ewca Marketing (Kenya) Ltd | row 731 CUST100866 Shan E Punjab"
problem_rep_code,P086,unresolved,20,,,"row 1313 CUST101515 Cash Sale A/C - Aptamil | row 1638 CUST102339 Danone - Consignment | row 1985 CUST102704 Maguna-Andu Wholesalers (K) Limited- Wings to fly"
problem_rep_code,P179,unresolved,3,,,"row 1039 CUST101231 Mega Wholesalers Nakuru Branch | row 1168 CUST101361 Society Stores Ltd - Naivasha Branch | row 1169 CUST101362 Society Stores Ltd -Olkalou Branch"
problem_rep_code,P186,unresolved,3,,,"row 1008 CUST101200 Jacmil  Supermarket - Pipeline | row 1164 CUST101357 Society Stores Ltd - Kayole Branch | row 1165 CUST101358 Society Stores Ltd - Limuru Branch"
problem_rep_code,P203,unresolved,2,,,"row 601 CUST100698 Nzaui Complex Stores | row 846 CUST101014 The Series Stores Wholesalers"
problem_rep_code,P213,unresolved,1,,,"row 1273 CUST101474 Sendy Store Limited"
problem_rep_code,P260,unresolved,1,,,"row 1684 CUST102392 Mega Wholesalers Kisumu Branch"
problem_rep_code,P271,unresolved,26,,,"row 61 CUST100064 Amash Tender Touch Supplies Ltd | row 274 CUST100309 Fatah Power Plus Electrical Limited | row 634 CUST100739 Petcom Enterprises"
problem_rep_code,P274,unresolved,27,,,"row 218 CUST100247 Donholm Wholesalers Ltd | row 263 CUST100298 Fabu Investment | row 1243 CUST101443 Authentic Company LTD"
problem_rep_code,P312,unresolved,5,,,"row 93 CUST100100 Bear And Cubs Haven | row 384 CUST100445 JD'S Kenya Ltd | row 756 CUST100902 Sonica Fashions Ltd"
problem_rep_code,P324,unresolved,1,,,"row 2618 CUST103357 Sarabis Baby Shop"
problem_rep_code,P328,unresolved,1,,,"row 1382 CUST101817 Embassa Distributors Ltd - Kericho Branch"
problem_rep_code,P397,unresolved,7,,,"row 330 CUST100381 Haltons Ltd | row 1400 CUST101836 Citymed Pharmacy LTD | row 1456 CUST101897 Nila Pharmaceuticals Ltd"
problem_rep_code,P418,unresolved,1,,,"row 2308 CUST103035 Faiz Pharmacy Ltd"
missing_rep_code,,missing_rep_code,37,,,"rows with empty Rep Code"
